palabra
"*/AAGE3201.lab"
2400000;3900000;a;"*/AAGE3201.lab"
3900000;5500000;que;"*/AAGE3201.lab"
5500000;8100000;altura;"*/AAGE3201.lab"
8100000;8700000;se;"*/AAGE3201.lab"
8700000;13000000;encuentra;"*/AAGE3201.lab"
13000000;13700000;el;"*/AAGE3201.lab"
13700000;15900000;pico;"*/AAGE3201.lab"
15900000;18100000;mas;"*/AAGE3201.lab"
18100000;20600000;alto;"*/AAGE3201.lab"
20600000;22100000;del;"*/AAGE3201.lab"
22100000;26500000;sistema;"*/AAGE3201.lab"
26500000;33500000;penibetico;"*/AAGE3201.lab"
"*/AAGE3221.lab"
2400000;4800000;como;"*/AAGE3221.lab"
4800000;5900000;se;"*/AAGE3221.lab"
5900000;8800000;llama;"*/AAGE3221.lab"
8800000;9400000;el;"*/AAGE3221.lab"
9400000;13600000;sistema;"*/AAGE3221.lab"
13600000;20200000;montaNoso;"*/AAGE3221.lab"
20200000;21000000;que;"*/AAGE3221.lab"
21000000;24300000;existe;"*/AAGE3221.lab"
24300000;24900000;en;"*/AAGE3221.lab"
24900000;26200000;la;"*/AAGE3221.lab"
26200000;30000000;comunidad;"*/AAGE3221.lab"
30000000;30700000;de;"*/AAGE3221.lab"
30700000;36800000;cataluNa;"*/AAGE3221.lab"
"*/AAGE3241.lab"
2400000;4300000;cual;"*/AAGE3241.lab"
4300000;5900000;es;"*/AAGE3241.lab"
5900000;6800000;el;"*/AAGE3241.lab"
6800000;10100000;nombre;"*/AAGE3241.lab"
10100000;11700000;del;"*/AAGE3241.lab"
11700000;14200000;mar;"*/AAGE3241.lab"
14200000;15400000;que;"*/AAGE3241.lab"
15400000;17800000;baNa;"*/AAGE3241.lab"
17800000;19300000;una;"*/AAGE3241.lab"
19300000;22500000;ciudad;"*/AAGE3241.lab"
22500000;23200000;de;"*/AAGE3241.lab"
23200000;25100000;mas;"*/AAGE3241.lab"
25100000;25900000;de;"*/AAGE3241.lab"
25900000;27700000;dos;"*/AAGE3241.lab"
27700000;31400000;millones;"*/AAGE3241.lab"
31400000;32300000;de;"*/AAGE3241.lab"
32300000;39200000;habitantes;"*/AAGE3241.lab"
"*/AAGE3261.lab"
2400000;4300000;cual;"*/AAGE3261.lab"
4300000;5200000;es;"*/AAGE3261.lab"
5200000;7000000;la;"*/AAGE3261.lab"
